impressions,hour,campaign,campaign_id,clicks
1349,2012-09-27 21:00:00,1FS1,1107,0
2726,2012-09-28 12:00:00,1FS1,1107,0
239,2012-09-15 03:00:00,1de146,1103,0
104260,2012-09-22 20:00:00,1FS1,1107,20
12,2012-09-26 06:00:00,1de149,1106,0
11106,2012-09-26 11:00:00,1de149,1106,8
3239,2012-09-22 10:00:00,1de150,1108,2
30,2012-09-28 18:00:00,1de153,1111,0
0,,1de152,1110,0
2313,2012-09-27 16:00:00,1FS1,1107,0
2,2012-09-28 19:00:00,1de153,1111,0
29663,2012-09-21 18:00:00,1FS1,1107,8
13215,2012-09-27 09:00:00,1de149,1106,9
15903,2012-09-22 19:00:00,1FS1,1107,4
625,2012-09-29 04:00:00,1de153,1111,0
3613,2012-09-28 21:00:00,1de153,1111,2
23635,2012-09-25 23:00:00,1de149,1106,14
5650,2012-09-28 10:00:00,1FS1,1107,0
3748,2012-09-29 11:00:00,1de153,1111,1
9277,2012-09-29 07:00:00,1de153,1111,5
39,2012-09-27 18:00:00,1FS1,1107,0
11349,2012-09-26 01:00:00,1FS1,1107,3
1931,2012-09-22 02:00:00,1de150,1108,5
88,2012-09-29 00:00:00,1de153,1111,0
19179,2012-09-28 14:00:00,1de153,1111,17
12727,2012-09-26 02:00:00,1FS1,1107,0
8068,2012-09-27 10:00:00,1de149,1106,7
17,2012-09-27 19:00:00,1FS1,1107,0
7316,2012-09-28 11:00:00,1FS1,1107,1
375325,2012-09-22 14:00:00,1FS1,1107,84
146782,2012-09-21 15:00:00,1FS1,1107,21
2645,2012-09-29 05:00:00,1de153,1111,1
16542,2012-09-26 09:00:00,1de149,1106,9
7268,2012-09-29 10:00:00,1de153,1111,8
0,2012-09-29 13:00:00,1de153,1111,0
129,2012-09-28 05:00:00,1de153,1111,0
8910,2012-09-22 00:00:00,1de150,1108,3
212983,2012-09-15 15:00:00,1lf10,1102,82
26345,2012-09-26 17:00:00,1de149,1106,23
8256,2012-09-22 01:00:00,1de150,1108,4
3600,2012-09-28 09:00:00,1FS1,1107,0
64051,2012-09-21 21:00:00,1FS1,1107,15
0,,1de153,1111,0
230407,2012-09-20 18:00:00,1de149,1106,108
78477,2012-09-21 17:00:00,1FS1,1107,13
1004,2012-09-28 03:00:00,1FS1,1107,1
64036,2012-09-15 18:00:00,1lf10,1102,30
12913,2012-09-26 23:00:00,1de149,1106,10
16426,2012-09-27 07:00:00,1de149,1106,6
2588,2012-09-28 06:00:00,1de153,1111,2
1858,2012-09-28 08:00:00,1FS1,1107,0
12,2012-09-25 15:00:00,1de149,1106,0
88844,2012-09-15 14:00:00,1lf10,1102,31
184286,2012-09-25 21:00:00,1de149,1106,157
45814,2012-09-21 19:00:00,1FS1,1107,5
20743,2012-09-26 18:00:00,1de149,1106,15
15300,2012-09-26 11:00:00,1FS1,1107,2
273,2012-09-28 12:00:00,1de153,1111,0
4558,2012-09-26 06:00:00,1FS1,1107,0
4145,2012-09-21 18:00:00,1de149,1106,5
0,2012-09-21 22:00:00,1de149,1106,1
9543,2012-09-29 08:00:00,1de153,1111,12
87,2012-09-14 23:00:00,1de146,1103,0
86262,2012-09-15 17:00:00,1lf10,1102,34
9425,2012-09-29 09:00:00,1de153,1111,7
0,,1de146,1103,0
7769,2012-09-20 19:00:00,1de149,1106,5
775,2012-09-27 23:00:00,1FS1,1107,0
1369,2012-09-28 13:00:00,1de153,1111,2
2211,2012-09-22 05:00:00,1de150,1108,3
3326,2012-09-27 17:00:00,1FS1,1107,3
2323,2012-09-28 07:00:00,1FS1,1107,0
64887,2012-09-25 19:00:00,1de149,1106,55
335153,2012-09-28 01:00:00,1de153,1111,106
74920,2012-09-20 21:00:00,1de149,1106,68
2690,2012-09-22 13:00:00,1de150,1108,2
0,,1de151,1109,0
0,,1lf10,1102,0
1127,2012-09-28 02:00:00,1FS1,1107,0
472,2012-09-27 03:00:00,1de149,1106,0
15391,2012-09-26 08:00:00,1de149,1106,9
77781,2012-09-26 20:00:00,1de149,1106,62
121410,2012-09-25 22:00:00,1FS1,1107,26
418,2012-09-15 02:00:00,1de146,1103,1
138,2012-09-28 04:00:00,1FS1,1107,1
96911,2012-09-21 16:00:00,1FS1,1107,22
12204,2012-09-26 12:00:00,1FS1,1107,3
88908,2012-09-26 21:00:00,1de149,1106,78
12423,2012-09-26 10:00:00,1de149,1106,11
22535,2012-09-21 14:00:00,1de149,1106,16
3162,2012-09-26 05:00:00,1FS1,1107,1
0,,1de147,1104,0
1966,2012-09-27 01:00:00,1de149,1106,3
3433,2012-09-26 14:00:00,1FS1,1107,0
45760,2012-09-21 20:00:00,1de149,1106,58
2983,2012-09-27 14:00:00,1FS1,1107,0
8014,2012-09-27 13:00:00,1de149,1106,7
230,2012-09-15 00:00:00,1de146,1103,0
11144,2012-09-26 13:00:00,1FS1,1107,6
6097,2012-09-26 00:00:00,1de149,1106,8
12374,2012-09-26 03:00:00,1FS1,1107,5
19938,2012-09-22 18:00:00,1FS1,1107,3
51,2012-09-26 07:00:00,1de149,1106,0
74,2012-09-20 20:00:00,1de149,1106,0
117627,2012-09-22 17:00:00,1FS1,1107,27
2631,2012-09-27 15:00:00,1FS1,1107,0
3030,2012-09-29 03:00:00,1de153,1111,5
1125,2012-09-26 04:00:00,1de149,1106,0
6953,2012-09-27 06:00:00,1de149,1106,3
41399,2012-10-01 23:00:00,1de159,1120,25
113360,2012-09-28 06:00:00,1de154,1112,31
25333,2012-10-01 15:00:00,1de159,1120,18
676,2012-09-29 17:00:00,1li96,1113,1
8186,2012-10-01 06:00:00,1de159,1120,7
5399,2012-09-30 03:00:00,1li98,1117,0
2507,2012-09-30 07:00:00,1li96,1113,0
1,2012-10-13 22:00:00,1de159,1120,0
9682,2012-10-01 08:00:00,1li96,1113,3
69,2012-10-14 02:00:00,1de159,1120,0
1684,2012-10-01 00:00:00,1li96,1113,0
88748,2012-10-04 09:00:00,1li98,1117,17
1121,2012-10-17 09:00:00,1de159,1120,0
55109,2012-10-01 04:00:00,1de159,1120,61
9341,2012-09-29 13:00:00,1li96,1113,5
4334,2012-10-01 11:00:00,1li96,1113,2
731,2012-10-17 07:00:00,1de159,1120,1
34306,2012-10-01 17:00:00,1li98,1117,11
0,,1de154,1112,0
47114,2012-09-29 10:00:00,1li96,1113,8
403,2012-09-29 05:00:00,1li96,1113,0
19924,2012-10-14 21:00:00,1de159,1120,6
16515,2012-09-30 05:00:00,1li98,1117,5
47309,2012-09-30 22:00:00,1de159,1120,42
2,2012-09-30 09:00:00,1de159,1120,0
1,2012-10-13 23:00:00,1de159,1120,0
139,2012-10-16 12:00:00,1de159,1120,0
2,2012-10-12 06:00:00,1de159,1120,0
30569,2012-10-01 09:00:00,1li98,1117,1
148724,2012-09-28 20:00:00,1de155,1114,21
17526,2012-10-01 18:00:00,1li96,1113,2
